,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
4,5,4,5,ワンダーコノシュア,牡3,54.0,内田博幸,1:55.7,2,**,10-10-10-9,37.8,11.3,5.0,494(-2),,,,[東]斎藤誠,山本能成,75.0
5,6,2,2,ダンスメーカー,牡4,56.0,武藤雅,1:55.8,クビ,**,3-3-3-4,38.4,5.8,3.0,482(+2),,,,[東]戸田博文,Ｇ１レーシング,
6,7,4,4,エグジットラック,牡5,57.0,勝浦正樹,1:55.8,クビ,**,12-12-10-11,37.8,30.4,10.0,512(0),,,,[東]田村康仁,戸賀智子,
7,8,3,3,ヒロノワカムシャ,セ5,57.0,江田照男,1:55.9,1/2,**,13-13-12-12,37.7,34.4,12.0,484(+2),,,,[東]石栗龍彦,小野博郷,
8,9,8,13,オンワードセルフ,牡3,54.0,戸崎圭太,1:56.2,1.3/4,**,7-7-7-9,38.6,32.2,11.0,478(+12),,,,[西]村山明,樫山章子,
9,10,1,1,アイヅリュウコ,牡3,54.0,杉原誠人,1:56.2,クビ,**,10-10-12-12,38.0,19.0,7.0,474(+4),,,,[東]小笠倫弘,真部晴徳,
10,11,5,7,パシージョ,牡3,51.0,菅原明良,1:56.5,2,**,3-3-3-5,39.1,29.5,9.0,458(-10),,,,[東]田中博康,前田幸治,
11,12,6,8,レオ,牡3,54.0,三浦皇成,1:57.5,6,**,8-8-7-5,39.8,7.8,4.0,528(+16),,,,[東]伊藤大士,山住勲,
12,13,7,10,エンドゾーンダンス,牡4,54.0,藤田菜七,1:58.8,8,**,5-5-3-5,41.4,128.2,13.0,472(+8),,,,[東]中野栄治,尾上寿夫,
0,1,8,9,マルターズディオサ,牝2,54.0,武豊,1:34.3,,**,8-5-4,33.8,5.3,4.0,440(0),,,,[東]手塚貴久,藤田在子,"1,021.7"
1,2,5,5,マジックキャッスル,牝2,54.0,戸崎圭太,1:34.3,クビ,**,3-2-2,34.2,4.2,2.0,432(+8),,,,[東]国枝栄,社台レースホース,406.2
2,3,2,2,ギルデッドミラー,牝2,54.0,川田将雅,1:34.6,1.1/2,**,8-8-4,33.9,2.5,1.0,472(0),,,,[西]松永幹夫,シルクレーシング,253.1
3,4,7,7,ビッククインバイオ,牝2,54.0,大野拓弥,1:34.7,1/2,**,1-1-1,34.7,4.8,3.0,478(-2),,,,[東]牧光二,バイオ,150.0
4,5,6,6,イズジョーノキセキ,牝2,54.0,岩田康誠,1:34.7,クビ,**,6-5-4,34.3,8.7,5.0,448(+14),,,,[西]石坂公一,泉一郎,100.0
5,6,4,4,サナチャン,牝2,54.0,武士沢友,1:34.9,1.1/4,**,7-8-8,34.3,41.9,6.0,422(-6),,,,[東]武藤善則,瀬谷隆雄,
6,7,8,8,イッツアワターン,牝2,54.0,浜中俊,1:35.4,3,**,3-3-2,35.2,81.1,9.0,420(+6),,,,[東]相沢郁,田邉幸則,
7,8,3,3,ラブオナヴィータ,牝2,54.0,吉田豊,1:35.9,3,**,2-3-4,35.7,61.9,7.0,460(-4),,,,[東]尾関知人,由井健太郎,
8,9,1,1,ミーハディビーナ,牝2,54.0,木幡巧也,1:35.9,クビ,**,5-5-8,35.4,62.7,8.0,422(-2),,,,[東]牧光二,ノルマンディーサラブレッドレーシング,
0,1,7,12,キョウエイゴー,牡2,54.0,田辺裕信,1:56.1,,**,2-2-2-2,38.8,3.9,3.0,496(0),,,,[東]萱野浩二,田中晴夫,500.0
1,2,7,11,ラグリマスネグラス,牡2,54.0,ルメール,1:56.8,4,**,1-1-1-1,39.6,9.8,5.0,552(0),,,,[東]藤沢和雄,多田信尊,200.0
2,3,3,4,ケイツーキナ,牝2,52.0,木幡育也,1:57.0,1.1/2,**,2-3-5-3,39.5,33.1,7.0,452(-4),,,,[東]大江原哲,楠本勝美,130.0
3,4,5,7,サトノアレックス,牡2,54.0,戸崎圭太,1:57.7,4,**,12-9-6-6,40.1,3.2,1.0,484(+2),,,,[東]古賀慎明,サトミホースカンパニー,75.0
4,5,4,6,マイネルエスペルト,牡2,54.0,津村明秀,1:58.6,5,**,9-9-7-7,40.8,22.9,6.0,504(-4),,,,[東]水野貴広,サラブレッドクラブ・ラフィアン,50.0
5,6,1,1,ロードオマージュ,牡2,54.0,三浦皇成,1:58.9,1.1/2,**,13-12-7-8,41.0,3.7,2.0,474(+2),,,,[東]尾形和幸,ロードホースクラブ,
6,7,6,9,ヴァリアントジョイ,牡2,51.0,菅原明良,1:58.9,クビ,**,6-6-11-11,40.8,128.7,11.0,456(-2),,,,[東]畠山吉宏,ローレルレーシング,
7,8,8,13,ニシノアオハル,牡2,54.0,大野拓弥,1:58.9,ハナ,**,8-6-3-3,41.5,9.6,4.0,468(+2),,,,[東]栗田徹,西山茂行,
8,9,3,3,タマサイ,牝2,54.0,杉原誠人,1:59.0,クビ,**,10-12-11-10,40.8,46.9,9.0,426(-8),,,,[東]尾関知人,ミルファーム,
